Date,Open,High,Low,Close,Adj Close,Volume
2012-04-11,75.16999816894531,75.97000122070312,74.62000274658203,75.62999725341797,75.62999725341797,510626
2012-04-12,75.62999725341797,76.58999633789062,74.98999786376953,76.05000305175781,76.05000305175781,566008
2012-04-13,76.48999786376953,79.8499984741211,76.48999786376953,79.8499984741211,79.8499984741211,1979101
2012-04-16,74.68000030517578,78.44999694824219,74.68000030517578,78.44999694824219,78.44999694824219,847324
2012-04-17,75.76000213623047,76.5,75.26000213623047,76.16999816894531,76.16999816894531,306117
2012-04-18,76.30000305175781,77.79000091552734,76.30000305175781,77.79000091552734,77.79000091552734,692260
2012-04-19,77.5,77.9000015258789,77.0,77.23999786376953,77.23999786376953,385115
2012-04-20,77.75,81.0999984741211,77.75,81.0999984741211,81.0999984741211,1924972
2012-04-23,81.19999694824219,83.12000274658203,81.19999694824219,83.12000274658203,83.12000274658203,331185
2012-04-24,140.0500030517578,140.0500030517578,140.0500030517578,140.0500030517578,140.0500030517578,0
2012-04-25,83.5,87.30000305175781,83.5,87.30000305175781,87.30000305175781,777866
2012-04-26,86.4000015258789,89.69999694824219,84.5,84.94000244140625,84.94000244140625,1476205
2012-04-27,84.94000244140625,86.25,84.0,84.56999969482422,84.56999969482422,217682
2012-04-30,84.56999969482422,87.0,82.0,85.30999755859375,85.30999755859375,774982
2012-05-01,85.30999755859375,85.30999755859375,85.30999755859375,85.30999755859375,85.30999755859375,0
2012-05-02,85.30999755859375,87.23999786376953,85.05000305175781,85.76000213623047,85.76000213623047,680587
2012-05-03,144.6999969482422,144.6999969482422,144.0500030517578,144.0500030517578,144.0500030517578,64
2012-05-04,88.25,90.68000030517578,88.25,90.68000030517578,90.68000030517578,1433440
2012-05-07,89.94000244140625,90.25,88.0999984741211,89.08999633789062,89.08999633789062,232699
2012-05-08,89.08999633789062,89.29000091552734,86.0,86.38999938964844,86.38999938964844,466791
2012-05-09,86.38999938964844,88.44999694824219,86.0,86.54000091552734,86.54000091552734,248707
2012-05-10,86.54000091552734,87.38999938964844,83.9000015258789,84.75,84.75,1441127
2012-05-11,84.75,86.0999984741211,80.55000305175781,80.9800033569336,80.9800033569336,1246441
2012-05-14,81.0,84.5,81.0,84.5,84.5,325121
2012-05-15,83.80999755859375,84.69999694824219,82.4000015258789,82.66000366210938,82.66000366210938,139886
2012-05-16,82.66000366210938,82.98999786376953,81.4000015258789,82.13999938964844,82.13999938964844,72820
2012-05-17,81.13999938964844,83.0999984741211,81.0,82.80999755859375,82.80999755859375,1251445
2012-05-18,82.80999755859375,82.80999755859375,78.66999816894531,78.66999816894531,78.66999816894531,512470
2012-05-21,76.30999755859375,78.5,76.30999755859375,78.5,78.5,83497
2012-05-22,77.11000061035156,78.6500015258789,77.0,78.02999877929688,78.02999877929688,649480
2012-05-23,78.02999877929688,78.94999694824219,77.19999694824219,77.4800033569336,77.4800033569336,1038612
2012-05-24,77.4800033569336,78.19999694824219,76.30000305175781,76.54000091552734,76.54000091552734,184030
2012-05-25,76.54000091552734,77.5,76.01000213623047,76.37999725341797,76.37999725341797,99637
2012-05-29,77.44999694824219,79.0,76.6500015258789,76.9800033569336,76.9800033569336,345316
2012-05-30,76.9800033569336,77.01000213623047,74.51000213623047,75.31999969482422,75.31999969482422,438745
2012-05-31,75.31999969482422,75.75,74.5,75.01000213623047,75.01000213623047,1088989
2012-06-01,75.01000213623047,77.5,74.20999908447266,76.9800033569336,76.9800033569336,273296
2012-06-04,76.9800033569336,77.19999694824219,75.30000305175781,76.51000213623047,76.51000213623047,1895147
2012-06-05,76.51000213623047,77.0,75.5,76.56999969482422,76.56999969482422,506559
2012-06-06,76.56999969482422,77.9000015258789,75.80000305175781,76.88999938964844,76.88999938964844,931067
2012-06-07,76.88999938964844,77.5,75.75,76.63999938964844,76.63999938964844,475157
2012-06-08,76.63999938964844,76.98999786376953,75.5999984741211,76.12999725341797,76.12999725341797,54286
2012-06-11,76.12999725341797,77.0199966430664,75.11000061035156,76.98999786376953,76.98999786376953,73543
2012-06-12,76.98999786376953,77.94999694824219,75.75,75.98999786376953,75.98999786376953,574141
2012-06-13,75.98999786376953,76.4000015258789,75.0199966430664,76.06999969482422,76.06999969482422,435484
2012-06-14,76.06999969482422,78.0999984741211,76.0,77.76000213623047,77.76000213623047,527834
2012-06-15,77.76000213623047,78.9000015258789,76.7699966430664,78.51000213623047,78.51000213623047,821355
2012-06-18,78.51000213623047,80.1500015258789,77.30000305175781,79.22000122070312,79.22000122070312,829068
2012-06-19,78.25,79.11000061035156,78.25,79.11000061035156,79.11000061035156,68636
2012-06-20,78.5,78.73999786376953,78.0,78.48999786376953,78.48999786376953,161942
2012-06-21,77.48999786376953,78.0,77.48999786376953,78.0,78.0,861033
2012-06-22,78.0,78.05999755859375,77.0,77.25,77.25,437778
2012-06-25,77.25,77.87999725341797,76.5999984741211,77.37000274658203,77.37000274658203,24657
2012-06-26,76.44999694824219,76.97000122070312,76.44999694824219,76.97000122070312,76.97000122070312,667870
2012-06-27,76.79000091552734,79.0,76.5,78.11000061035156,78.11000061035156,1156584
2012-06-28,78.11000061035156,79.5,78.0,78.87999725341797,78.87999725341797,1041262
2012-06-29,78.87999725341797,79.1500015258789,78.01000213623047,78.37999725341797,78.37999725341797,1082250
2012-07-02,78.37999725341797,81.0,77.9000015258789,80.95999908447266,80.95999908447266,1136751
2012-07-03,80.95999908447266,81.0,80.02999877929688,80.56999969482422,80.56999969482422,635421
2012-07-05,80.0,80.4800033569336,79.5,79.79000091552734,79.79000091552734,251824
2012-07-06,79.79000091552734,82.0,79.75,81.6500015258789,81.6500015258789,854886
2012-07-09,81.6500015258789,84.88999938964844,81.1500015258789,84.36000061035156,84.36000061035156,1032542
2012-07-10,84.36000061035156,85.0,83.75,84.16000366210938,84.16000366210938,253597
2012-07-11,84.16000366210938,84.5,83.16000366210938,83.43000030517578,83.43000030517578,58412
2012-07-12,83.51000213623047,87.0999984741211,83.51000213623047,87.0999984741211,87.0999984741211,1486116
2012-07-13,84.98999786376953,87.5999984741211,84.25,84.66000366210938,84.66000366210938,1225605
2012-07-16,84.80000305175781,87.80000305175781,84.80000305175781,87.80000305175781,87.80000305175781,877530
2012-07-17,87.30000305175781,89.9000015258789,87.30000305175781,89.9000015258789,89.9000015258789,2285219
2012-07-18,88.88999938964844,89.88999938964844,87.5,87.9000015258789,87.9000015258789,923954
2012-07-19,87.9000015258789,89.30000305175781,87.25,88.06999969482422,88.06999969482422,1187644
2012-07-20,88.0999984741211,91.98999786376953,88.0999984741211,91.98999786376953,91.98999786376953,3088098
2012-07-23,91.16999816894531,91.87999725341797,90.5,90.83000183105469,90.83000183105469,83000
2012-07-24,90.83000183105469,91.0999984741211,90.0999984741211,90.29000091552734,90.29000091552734,46000
2012-07-25,90.29000091552734,91.55000305175781,89.0,89.31999969482422,89.31999969482422,404000
2012-07-26,89.31999969482422,89.5,88.16999816894531,88.51000213623047,88.51000213623047,182500
2012-07-27,88.51000213623047,88.5999984741211,88.02999877929688,88.25,88.25,195500
2012-07-30,88.25,88.88999938964844,88.0,88.31999969482422,88.31999969482422,85000
2012-07-31,88.33000183105469,89.75,88.33000183105469,89.75,89.75,393000
2012-08-01,88.58000183105469,89.58999633789062,88.25,88.86000061035156,88.86000061035156,841000
2012-08-02,88.86000061035156,90.19999694824219,88.5999984741211,89.05999755859375,89.05999755859375,1957000
2012-08-03,86.66000366210938,89.0,86.66000366210938,89.0,89.0,463500
2012-08-06,87.45999908447266,88.44000244140625,86.98999786376953,87.19000244140625,87.19000244140625,353500
2012-08-07,87.19000244140625,87.5,85.01000213623047,85.44999694824219,85.44999694824219,799000
2012-08-08,83.5,84.75,83.5,84.75,84.75,105500
2012-08-09,84.18000030517578,85.30000305175781,84.0,84.2699966430664,84.2699966430664,117500
2012-08-10,84.2699966430664,84.9800033569336,83.75,84.47000122070312,84.47000122070312,84000
2012-08-13,82.79000091552734,82.79000091552734,80.75,80.75,80.75,792500
2012-08-14,80.75,80.75,80.75,80.75,80.75,0
2012-08-15,82.0199966430664,83.5,81.69999694824219,83.30999755859375,83.30999755859375,350500
2012-08-16,83.30999755859375,83.80000305175781,80.1500015258789,80.38999938964844,80.38999938964844,709500
2012-08-17,80.38999938964844,80.38999938964844,80.38999938964844,80.38999938964844,80.38999938964844,0
2012-08-20,80.38999938964844,80.38999938964844,80.38999938964844,80.38999938964844,80.38999938964844,0
2012-08-21,80.38999938964844,80.38999938964844,80.38999938964844,80.38999938964844,80.38999938964844,0
2012-08-22,80.38999938964844,80.38999938964844,80.38999938964844,80.38999938964844,80.38999938964844,0
2012-08-23,80.38999938964844,81.5,79.5,79.9000015258789,79.9000015258789,1129000
2012-08-24,79.9000015258789,80.23999786376953,79.25,79.41000366210938,79.41000366210938,344000
2012-08-27,79.41000366210938,80.19999694824219,79.0,80.0,80.0,194000
2012-08-28,80.0,83.94999694824219,80.0,82.95999908447266,82.95999908447266,4275500
2012-08-29,82.95999908447266,83.48999786376953,81.0,81.16000366210938,81.16000366210938,446000
